categoria,chave,ingles,russo,portugues
Names,angel_guardian,Arael,Араэль,Arael
Names,hero_narrator,Narrator,Рассказчик,Narrador
Names,hero_main,Wigmund,Вигмунд,Wigmund
Names,hero_brother,Wigstan,Вигстан,Wigstan
Names,hero_tankwarrior,Cyneric,Цинерик,Cyneric
Names,hero_axemaster,Modig,Модиг,Modig
Names,hero_cleric,Cleric,Священник,Clérigo
Names,pet_puppy,Puppy,Щенок,Filhote
Names,pet_firebird,Fire Bird,Жар-птица,Pássaro de Fogo
Names,npc_grimme,Grimme,Гримм,Grimme
Names,npc_main_taleteller,Raedan,Райдэн,Raedan
Names,npc_main_mother,Aefestra,Эфестра,Aefestra
Names,npc_main_stneot,Saint Neot,Святой-Неот,Santo Neot
Names,npc_cyld,Cyld,Силд,Cyld
Names,npc_gaffer,Gaffer,Гаффер,Gaffer
Names,npc_boy,Boy,Мальчик,Menino
Names,npc_hildegard,Hildegard,Хильдегард,Hildegard
Names,npc_applewarrior,Eag,Иг,Eag
Names,npc_wyrtha,Wyrtha,Вирта,Wyrtha
Names,npc_wundor,Wundor,Вундор,Wundor
Names,npc_galdor,Galdor,Галдор,Galdor
Names,npc_heorte,Heorthe,Георт,Heorthe
Names,npc_gaed,Gaed,Гаед,Gaed
Names,npc_hyf,Hyf,Хиф,Hyf
Names,npc_peon,Peon,Селянин,Servo
Names,npc_ceorl,Ceorl,Кеорл,Camponês
Names,npc_mayor,Mayor,Мэр,Prefeito
Names,npc_astronomer,Astronomer,Астроном,Astrônomo
Names,npc_dwarf_ofergear,Ofergear,Офергир,Ofergear
Names,npc_dwarf_feorgear,Feorgear,Феоргир,Feorgear
Names,npc_guard,Guard,Стражник,Guarda
Names,npc_merchant,Merchant,Торговец,Mercador
Names,npc_merchant_oip,Oip,Ойп,Oip
Names,npc_merchant_weaponmaster,Weaponmaster,Оружейник,Mestre das Armas
Names,npc_goblin_drof,Drof,Дроф,Drof
Names,npc_goblin_faet,Faet,Фаэст,Faet
Names,npc_goblin_spy,Spy,Шпион,Espião
Names,npc_wolf_stagga,Stagga,Стагга,Stagga
Names,npc_boar_ferocious,Great Boar,Большой Кабан,Grande Javali
Names,npc_spider_forest_matron,Spider Mother,Мать-паук,Mãe Aranha
Names,npc_troll_hombug,Hombug,Хомбаг,Hombug
Names,npc_goblin_overgrown,Overgrown Goblin,Заросший гоблин,Goblin Crescido
Names,npc_antiochus,Antiochus,Антиох,Antiochus
Names,shadow_room,Ghastly Room,Ужасная комната,Sala Sinistral
Names,reliquary_room,Reliquary Room,Реликварийная комната,Sala do Relicário
Names,dragon_room,Great Hall Antechamber,Большой зал,Antecâmara do Grande Salão
Names,dungeon_room_winery,Winery,Винодельня,Adega
Names,dungeon_room_barracks,Barracks,Казармы,Quartel
Names,dungeon_room_crypt,Crypts,Крипта,Cripta
Names,dungeon_room_greathall,The Great Hall,Большой зал,O Grande Salão
Names,dungeon_room_treasury,Treasury,Сокровищница,Tesouro
Names,dungeon_room_treasuryantechamber,Treasury Antechamber,Прихожая при сокровищнице,Antecâmara do Tesouro
Names,castle_room_reliquary,Reliquary,Реликварий,Relicário
Names,castle_room_greatbooks,Giants Library,Библиотека Великих,Biblioteca dos Gigantes
Names,castle_room_scriptorium,Scriptorium,Скрипторий,Scriptorium
Names,castle_room_towerrelic,North-West Tower,Северо-Западная башня,Torre Noroeste
Names,castle_room_towershadow,South-West Tower,Юго-Западная Башня,Torre Sudoeste
Names,poi_evil_cells,Cells,Клетки,Celas
Names,poi_evil_foundry,Great Foundry,Великий литейный завод,Grande Forja
Names,poi_evil_summon,Summoning Room,Комната призыва,Sala de Invocação
Names,poi_evil_throneroom,Throne Room,Тронный зал,Sala do Trono
Names,poi_evil_darkmagic,Dark Magic Room,Комната Темной Магии,Sala da Magia Negra
Names,poi_evil_towerbook,Stone Tower,Каменная башня,Torre de Pedra
Names,poi_transition_ashdowncastlethroneroom,Throne Room Antechamber,Тронный зал,Antecâmara do Trono
Names,poi_transition_ashdowncastle,Ashdown Castle,Замок Эшдаун,Castelo Ashdown
Names,poi_transition_ashdowncastledungeon,Castle's Dungeon,Подземелье замка,Masmorra do Castelo
Names,poi_transition_eordscraefcaverns,Eordscaef Caverns,Пещеры Йордскаф,Cavernas de Eordscaef
Names,poi_transition_lonelyvalley,Lonely Valley,Одинокая долина,Vale Solitário
Names,poi_transition_frodforest,Frod Forest,Морозный лес,Floresta de Frod
Names,poi_transition_valleydungeon,Basement,Подвал,Porão
Names,poi_transition_valleywolfden,Wolf’s Den,Волчье логово,Covil dos Lobos
Names,poi_transition_caverns,Caverns,Пещеры,Cavernas
Names,poi_transition_goblincaverns,Goblin Mines,Гоблинские шахты,Minas dos Goblins
Names,poi_transition_bearcaverns,Bear’s Den,Медвежья берлога,Covil dos Ursos
Names,poi_transition_fortdungeon,Fort’s Dungeon,Подземелье крепости,Masmorra do Forte
Names,poi_transition_basementhaunted,Haunted Basement,Подвал с привидениями,Porão Assombrado
Names,poi_teleportnexus,Teleportation Nexus,Телепортационный Нексус,Nexo de Teletransporte
Names,poi_merchant,Merchant,Торговец,Mercador
Names,poi_bearforest,Bear’s Forest,Медвежий лес,Floresta dos Ursos
Names,poi_settlement,Settlement,Поселение,Assentamento
Names,poi_towers,Ruined Towers,Разрушенные башни,Torres em Ruínas
Names,poi_lonelyhouse,Lonely House,Одинокий дом,Casa Solitária
Names,poi_quary,Quarry,Карьер,Pedreira
Names,dir_village,Clwyd Village,Деревня Клуид,Vila Clwyd
Names,dir_oldtower,O..d Towe..,С..рая баш..,T..re Ve..ha
Names,dir_needlepass,Needle’s Pass,Игольчатый проход,Passagem da Agulha
Names,dir_fort,Fort,Крепость,Forte
Names,dir_oldmine,Old Iron Mine,Старый железный рудник,Mina de Ferro Antiga
Names,poi_player_stash,Stash,Тайник,Baú
Names,title_merchant,Merchant,Торговец,Mercador
Names,title_spoils,Spoils,Трофеи,Espólios
Names,signpost_tomb_aefestra,Here lies Aefestra,Здесь лежит Эфестра,Aqui jaz Aefestra
Names,blodwyrt_head_stone,The Stone of Wisdom,Камень мудрости,A Pedra da Sabedoria
Names,blodwyrt_head_stone_description,An almost perfect gemstone with mysterious qualities.,Почти идеальный драгоценный камень с загадочными свойствами.,Uma pedra preciosa quase perfeita com qualidades misteriosas.
Names,throne_room,Throne Room,Тронный зал,Sala do Trono
Names,castle_dungeon,Castle's Dungeon,Подземелье замка,Masmorra do Castelo
Names,good_angelic_wisp,Angelic Voice,Ангельский голос,Voz Angélica
Names,npc_main_goodking,King Alfred,Король Альфред,Rei Alfred
